Date,Country,Confirmed
23 April 2020,Azerbaijan,1548
27 April 2020,Azerbaijan,1678
30 April 2020,Azerbaijan,1804
01 May 2020,Azerbaijan,1854
02 May 2020,Azerbaijan,1894
03 May 2020,Azerbaijan,1932
04 May 2020,Azerbaijan,1984
05 May 2020,Azerbaijan,2060
06 May 2020,Azerbaijan,2127
07 May 2020,Azerbaijan,2204
08 May 2020,Azerbaijan,2279
09 May 2020,Azerbaijan,2422
10 May 2020,Azerbaijan,2519
11 May 2020,Azerbaijan,2589
12 May 2020,Azerbaijan,2693
13 May 2020,Azerbaijan,2758
14 May 2020,Azerbaijan,2879
15 May 2020,Azerbaijan,2980
16 May 2020,Azerbaijan,3138
17 May 2020,Azerbaijan,3274
18 May 2020,Azerbaijan,3387
19 May 2020,Azerbaijan,3518
20 May 2020,Azerbaijan,3631
21 May 2020,Azerbaijan,3749
22 May 2020,Azerbaijan,3855
23 May 2020,Azerbaijan,3982
24 May 2020,Azerbaijan,4122
25 May 2020,Azerbaijan,4271
26 May 2020,Azerbaijan,4403
23 May 2020,Bahamas,100
24 May 2020,Bahamas,100
25 May 2020,Bahamas,100
26 May 2020,Bahamas,100
14 March 2020,Bahrain,210
20 March 2020,Bahrain,285
24 March 2020,Bahrain,392
28 March 2020,Bahrain,476
31 March 2020,Bahrain,567
01 April 2020,Bahrain,569
04 April 2020,Bahrain,688
06 April 2020,Bahrain,756
11 April 2020,Bahrain,1040
15 April 2020,Bahrain,1671
19 April 2020,Bahrain,1881
23 April 2020,Bahrain,2217
27 April 2020,Bahrain,2723
30 April 2020,Bahrain,3040
01 May 2020,Bahrain,3170
02 May 2020,Bahrain,3284
03 May 2020,Bahrain,3383
04 May 2020,Bahrain,3533
05 May 2020,Bahrain,3720
06 May 2020,Bahrain,3934
07 May 2020,Bahrain,4199
08 May 2020,Bahrain,4444
09 May 2020,Bahrain,4774
10 May 2020,Bahrain,4941
11 May 2020,Bahrain,5236
12 May 2020,Bahrain,5531
13 May 2020,Bahrain,5816
14 May 2020,Bahrain,6198
15 May 2020,Bahrain,6583
16 May 2020,Bahrain,6747
17 May 2020,Bahrain,6956
18 May 2020,Bahrain,7184
19 May 2020,Bahrain,7532
20 May 2020,Bahrain,7888
21 May 2020,Bahrain,8174
22 May 2020,Bahrain,8414
23 May 2020,Bahrain,8802
24 May 2020,Bahrain,9138
25 May 2020,Bahrain,9171
26 May 2020,Bahrain,9366
06 April 2020,Bangladesh,123
11 April 2020,Bangladesh,482
15 April 2020,Bangladesh,1231
19 April 2020,Bangladesh,2456
23 April 2020,Bangladesh,4186
27 April 2020,Bangladesh,5913
30 April 2020,Bangladesh,7667
01 May 2020,Bangladesh,8238
02 May 2020,Bangladesh,8790
03 May 2020,Bangladesh,9455
04 May 2020,Bangladesh,10143
05 May 2020,Bangladesh,10929
06 May 2020,Bangladesh,11719
07 May 2020,Bangladesh,12425
08 May 2020,Bangladesh,13134
09 May 2020,Bangladesh,13770
10 May 2020,Bangladesh,14657
11 May 2020,Bangladesh,15691
12 May 2020,Bangladesh,16660
13 May 2020,Bangladesh,17822
14 May 2020,Bangladesh,18863
15 May 2020,Bangladesh,20065
16 May 2020,Bangladesh,20995
17 May 2020,Bangladesh,22268
18 May 2020,Bangladesh,23870
19 May 2020,Bangladesh,25121
20 May 2020,Bangladesh,26738
